"rv.AEX","rv.AORD","rv.BVSP","rv.DJI","rv.GDAXI","rv.GSPTSE","rv.IXIC","rv.RUT","rv.SPX","rv.SSMI","rv.STOXX50E"
2.98e-05,4.02e-05,2.51e-05,1.26e-05,5.51e-05,5.41e-06,2.58e-05,1.06e-05,5.35562e-06,2.35e-05,4.9e-05
5.01e-05,3.9e-05,6.69e-05,2.69e-05,7.15e-05,6.27e-06,3.09e-05,2.16e-05,3.15214e-05,3.36e-05,5.14e-05
1.25e-05,3.47e-05,3.65e-05,1.48e-05,2.77e-05,6.36e-06,1.78e-05,1.48e-05,4.7858e-06,2.07e-05,3.54e-05
2.18e-05,1.54e-05,3.21e-05,1.5e-05,1.48e-05,8.4e-06,2.39e-05,2.52e-05,1.64994e-05,1.76e-05,1.82e-05
2.91e-05,2.63e-05,3.16e-05,7.64e-06,3.66e-05,8.23e-06,8.77e-06,1.66e-05,1.30243e-05,1.99e-05,3.01e-05
4.4e-05,2.16e-05,3.33e-05,1.79e-05,4.1e-05,5.14e-06,3.26e-05,2.63e-05,9.72336e-06,4.62e-05,5.31e-05
2.27e-05,8.98e-06,2.98e-05,2.53e-05,2.34e-05,6.98e-06,2.3e-05,3.54e-05,1.07623e-05,1.96e-05,1.99e-05
2.63e-05,2.34e-05,4.12e-05,1.18e-05,4.01e-05,2.68e-06,1.17e-05,1.98e-05,6.72258e-06,2.94e-05,2.96e-05
1.17e-05,1.71e-05,1.55e-05,1.16e-05,2.14e-05,5.67e-06,1.6e-05,1.22e-05,3.96317e-06,2.43e-05,2.28e-05
5.07e-06,1.35e-05,1.7e-05,1.16e-05,5.84e-06,2.85e-06,1.6e-05,1.22e-05,3.96317e-06,8.74e-06,6.61e-06
2.84e-05,1.38e-05,3.52e-05,1.98e-05,2.08e-05,5.36e-06,1.52e-05,1.4e-05,5.67321e-06,2.68e-05,4.52e-05
2.71e-05,1.41e-05,1.87e-05,1.78e-05,2.32e-05,1.45e-05,1.96e-05,1.1e-05,1.02313e-05,2.75e-05,2.32e-05
3.97e-05,2.51e-05,5.4e-05,2.81e-05,2.86e-05,6.17e-06,3.82e-05,3.99e-05,2.05369e-05,2.22e-05,4.55e-05
3.03e-05,1.46e-05,5.6e-05,6.17e-05,2.14e-05,1.35e-05,5.75e-05,4.67e-05,8.79649e-05,1.41e-05,8.44e-05
5.7e-05,1.46e-05,5.7e-05,4.95e-05,4.93e-05,1.26e-05,6.02e-05,3.7e-05,2.02881e-05,6.42e-05,0.000114819
